,Dependence,x1,x2,xF,QT,QM,Siv,tot_err
0,x1,0.1,0.61,0.5,1.22,4.8,0.01199239697811803,0.126
1,x1,0.16,0.47,0.31,1.25,5.26,0.030902440096493587,0.12
2,x1,0.25,0.4,0.15,1.23,5.98,0.0725532478338465,0.117
3,x2,0.21,0.31,0.1,1.36,4.99,0.05717044935257717,0.118
4,x2,0.16,0.48,0.31,1.23,5.35,0.030408001054949695,0.12
5,x2,0.13,0.69,0.56,1.12,5.68,0.01843346249584717,0.124
6,xF,0.23,0.32,0.09,1.33,5.26,0.06673101401550159,0.12
7,xF,0.16,0.47,0.31,1.26,5.33,0.031149659617265537,0.12
8,xF,0.12,0.68,0.56,1.13,5.43,0.015894146071885665,0.123
9,QT,0.17,0.52,0.35,0.66,5.32,0.018370458597881226,0.12
10,QT,0.17,0.5,0.33,1.13,5.33,0.03145245184182696,0.124
11,QT,0.17,0.46,0.29,1.97,5.37,0.0548330355118576,0.118
12,QM,0.13,0.44,0.31,1.23,4.51,0.020243891848117875,0.122
13,QM,0.16,0.48,0.32,1.23,5.08,0.03040800105494969,0.125
14,QM,0.22,0.56,0.34,1.25,6.43,0.057525272401213204,0.116
