,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence
0,pi+,1.29,0.036,0.702,0.336,0.486,0.007223613830334041,0.00875557,x
1,pi+,1.64,0.056,0.567,0.356,0.408,0.0170266116115237,0.007397973,x
2,pi+,1.98,0.074,0.516,0.366,0.375,0.02659344057107378,0.008782369,x
3,pi+,2.34,0.093,0.489,0.374,0.358,0.03618222981784863,0.007749194,x
4,pi+,2.34,0.093,0.489,0.374,0.358,0.03618222981784863,0.007749194,x
5,pi+,2.87,0.118,0.469,0.379,0.348,0.0458859427609459,0.007595393,x
6,pi+,3.69,0.157,0.456,0.379,0.342,0.05145051673913815,0.007640026,x
7,pi+,5.71,0.254,0.437,0.375,0.343,0.03149394393500369,0.009352005,x
8,pi+,2.44,0.087,0.594,0.229,0.344,0.022673617714551373,0.005491812,z
9,pi+,2.46,0.094,0.556,0.289,0.371,0.03243032172659855,0.006020797,z
10,pi+,2.45,0.098,0.533,0.349,0.394,0.04095946401840786,0.007340981,z
11,pi+,2.45,0.1,0.52,0.413,0.418,0.048750338307612766,0.00813941,z
12,pi+,2.44,0.101,0.508,0.483,0.441,0.0552028124847283,0.011552056,z
13,pi+,2.44,0.101,0.508,0.483,0.441,0.0552028124847283,0.011552056,z
14,pi+,2.43,0.102,0.499,0.558,0.46,0.059034143172080944,0.012384668,z
15,pi+,2.41,0.104,0.481,0.647,0.466,0.059764869619072424,0.015425304,z
16,pi+,2.41,0.107,0.457,0.729,0.453,0.0571842366319104,0.021260292,z
17,pi+,2.35,0.108,0.434,0.798,0.433,0.05189052344114333,0.023052115,z
18,pi+,2.31,0.116,0.394,0.916,0.376,0.042882091506851745,0.021890866,z
19,pi+,2.56,0.11,0.46,0.341,0.11,0.01277943687664129,0.006911584,phT
20,pi+,2.56,0.108,0.489,0.35,0.211,0.02444570401576474,0.00741485,phT
21,pi+,2.52,0.103,0.514,0.354,0.28,0.031050106679999107,0.008372574,phT
22,pi+,2.46,0.097,0.54,0.355,0.345,0.035734285470510954,0.009291394,phT
23,pi+,2.46,0.097,0.54,0.355,0.345,0.035734285470510954,0.009291394,phT
24,pi+,2.39,0.09,0.57,0.356,0.446,0.042061478448734736,0.009700515,phT
25,pi+,2.34,0.084,0.601,0.373,0.594,0.05242369494267532,0.012816006,phT
26,pi+,2.3,0.076,0.642,0.429,0.849,0.07009540454025719,0.010870603,phT
27,pi0,1.3,0.036,0.712,0.325,0.492,0.0029196978069419128,0.036200829,x
28,pi0,1.72,0.056,0.597,0.352,0.406,0.009901151800031274,0.031942761,x
29,pi0,2.14,0.074,0.558,0.366,0.374,0.01714705163891598,0.035141144,x
30,pi0,2.58,0.093,0.538,0.372,0.353,0.02395097412150579,0.030734996,x
31,pi0,2.58,0.093,0.538,0.372,0.353,0.02395097412150579,0.030734996,x
32,pi0,3.19,0.118,0.522,0.378,0.338,0.031295262686659435,0.031110288,x
33,pi0,4.1,0.156,0.507,0.38,0.323,0.035324801036049513,0.02973096,x
34,pi0,6.14,0.249,0.479,0.386,0.326,0.0219704084462185,0.033160217,x
35,pi0,2.45,0.078,0.648,0.229,0.337,0.014499350762006197,0.034340646,z
36,pi0,2.49,0.085,0.609,0.289,0.372,0.020603485650937958,0.031331294,z
37,pi0,2.52,0.09,0.581,0.348,0.401,0.025621872971664912,0.030972569,z
38,pi0,2.53,0.095,0.558,0.413,0.427,0.03006439741172562,0.030304125,z
39,pi0,2.55,0.099,0.537,0.483,0.45,0.033165699033620336,0.031590505,z
40,pi0,2.55,0.099,0.537,0.483,0.45,0.033165699033620336,0.031590505,z
41,pi0,2.57,0.102,0.517,0.557,0.469,0.035021205362204814,0.032557641,z
