,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence
0,pi+,1.24,0.0065,0.65,0.285,0.54,-0.001285789447988813,0.0117,x
1,pi+,1.47,0.0106,0.47,0.321,0.52,-0.0005818989098998905,0.0074,x
2,pi+,1.72,0.0164,0.36,0.347,0.51,0.0006401249452964533,0.0061,x
3,pi+,2.05,0.0257,0.27,0.363,0.49,0.0034934761062019853,0.0053,x
4,pi+,2.71,0.0399,0.23,0.37,0.48,0.010364889663483558,0.0055,x
5,pi+,4.22,0.0628,0.23,0.367,0.48,0.02625143285544095,0.0063,x
6,pi+,6.68,0.1009,0.22,0.365,0.48,0.05405458119168173,0.0075,x
7,pi+,10.54,0.1621,0.22,0.362,0.48,0.07169569983926605,0.0096,x
8,pi+,21.02,0.2881,0.24,0.361,0.52,0.03321765715033031,0.0126,x
9,pi+,3.75,0.0467,0.33,0.223,0.45,0.009493421139680472,0.0044,z
10,pi+,3.75,0.0483,0.32,0.274,0.47,0.01257347144674383,0.0053,z
11,pi+,3.72,0.0498,0.31,0.324,0.5,0.016063158476937532,0.0063,z
12,pi+,3.68,0.0511,0.29,0.374,0.52,0.01933856547203661,0.0074,z
13,pi+,3.58,0.0527,0.27,0.445,0.54,0.023527055945771435,0.0067,z
14,pi+,3.4,0.0545,0.24,0.565,0.57,0.027947479430778015,0.0077,z
15,pi+,3.1,0.0548,0.21,0.716,0.56,0.026260601062096753,0.0113,z
16,pi+,2.71,0.0527,0.19,0.878,0.47,0.017579239799348417,0.0152,z
17,pi+,3.57,0.052,0.28,0.346,0.15,0.005453662197671167,0.0072,phT
18,pi+,3.52,0.051,0.28,0.344,0.25,0.008713692910921866,0.006,phT
19,pi+,3.48,0.0497,0.29,0.344,0.35,0.011590356018255315,0.0056,phT
20,pi+,3.55,0.0495,0.3,0.344,0.45,0.014823339584830364,0.0059,phT
21,pi+,3.62,0.0493,0.3,0.35,0.55,0.018235569258712673,0.0066,phT
22,pi+,3.71,0.0489,0.31,0.363,0.67,0.0224805121319627,0.0066,phT
23,pi+,3.84,0.0487,0.32,0.382,0.82,0.02840375509362939,0.0087,phT
24,pi+,4.06,0.0486,0.34,0.404,1.04,0.037626127459835276,0.0091,phT
25,pi+,4.77,0.0492,0.39,0.415,1.56,0.06135141171999475,0.0186,phT
26,pi-,1.24,0.0064,0.65,0.285,0.54,-0.003872761408942803,0.0115,x
27,pi-,1.48,0.0106,0.48,0.32,0.52,-0.004086885292994278,0.0075,x
28,pi-,1.73,0.0164,0.36,0.344,0.5,-0.004229195252697483,0.0063,x
29,pi-,2.05,0.0257,0.27,0.358,0.49,-0.00425399907696944,0.0054,x
30,pi-,2.72,0.0398,0.23,0.365,0.48,-0.0033823659290035005,0.0057,x
31,pi-,4.22,0.0627,0.23,0.359,0.48,0.0011793166629495365,0.0068,x
32,pi-,6.66,0.1007,0.22,0.353,0.48,0.012108908200798369,0.0083,x
33,pi-,10.54,0.1619,0.22,0.349,0.48,0.020864954595149927,0.0109,x
34,pi-,20.85,0.2873,0.24,0.345,0.51,5.482002936556762e-05,0.0147,x
35,pi-,3.61,0.0447,0.34,0.223,0.45,0.002738444160014669,0.0045,z
36,pi-,3.58,0.0458,0.33,0.273,0.48,0.0018491588095493857,0.0054,z
37,pi-,3.52,0.0468,0.31,0.323,0.5,3.0864579233505874e-05,0.0065,z
38,pi-,3.45,0.0475,0.3,0.373,0.52,-0.0031416935117014313,0.0078,z
39,pi-,3.34,0.0488,0.27,0.444,0.54,-0.009888362865819704,0.0071,z
40,pi-,3.11,0.0499,0.24,0.564,0.55,-0.01955549699966267,0.0086,z
41,pi-,2.77,0.0491,0.21,0.716,0.53,-0.020253179762786573,0.0127,z
42,pi-,2.43,0.0473,0.19,0.879,0.43,-0.009899822635456195,0.0168,z
43,pi-,3.38,0.0487,0.28,0.346,0.15,-0.000279188087622467,0.0075,phT
44,pi-,3.32,0.0477,0.29,0.344,0.25,-0.0005034719677178334,0.0062,phT
45,pi-,3.29,0.0464,0.29,0.342,0.35,-0.0007980396347644328,0.0058,phT
46,pi-,3.36,0.0464,0.3,0.34,0.45,-0.0009182893456079369,0.0062,phT
47,pi-,3.46,0.0464,0.31,0.342,0.55,-0.0012481743982854848,0.0069,phT
48,pi-,3.53,0.0461,0.32,0.351,0.67,-0.002327645577814677,0.0069,phT
49,pi-,3.65,0.0458,0.33,0.366,0.82,-0.004573791730080753,0.0092,phT
50,pi-,3.83,0.0452,0.34,0.386,1.04,-0.009183082106250228,0.0096,phT
51,pi-,4.34,0.0442,0.4,0.4,1.56,-0.0182946670555253,0.0197,phT
52,k-,1.24,0.0065,0.65,0.296,0.64,-0.023049933079482086,0.0295,x
53,k-,1.49,0.0105,0.48,0.341,0.59,-0.012438613049273873,0.0183,x
54,k-,1.88,0.0163,0.39,0.375,0.57,-0.0026434005219106893,0.0168,x
55,k-,2.57,0.0253,0.34,0.405,0.56,0.006073184628473652,0.0169,x
56,k-,3.83,0.0398,0.33,0.42,0.56,0.015132443030173562,0.0202,x
57,k-,5.91,0.0626,0.32,0.418,0.56,0.028426398985421094,0.0245,x
58,k-,9.32,0.1002,0.31,0.418,0.56,0.051555989580219334,0.0315,x
59,k-,15.09,0.1613,0.31,0.411,0.56,0.07981834483327403,0.0439,x
60,k-,29.47,0.2984,0.33,0.4,0.61,0.05770008893424062,0.0571,x
61,k-,4.12,0.0292,0.51,0.225,0.55,0.029589393479859796,0.0175,z
62,k-,3.97,0.0323,0.46,0.274,0.56,0.02344396088646373,0.0184,z
63,k-,3.85,0.035,0.41,0.324,0.57,0.01922272154497551,0.02,z
64,k-,3.69,0.0372,0.37,0.374,0.58,0.01713770695401734,0.0222,z
65,k-,3.45,0.0397,0.33,0.446,0.58,0.014091079426580867,0.0185,z
66,k-,3.14,0.0428,0.28,0.564,0.58,0.011482567071176487,0.0205,z
67,k-,3.04,0.0462,0.24,0.712,0.62,0.011472686192131126,0.0347,z
68,k-,2.92,0.0459,0.24,0.869,0.56,0.008678151696615568,0.0596,z
69,k-,3.55,0.0364,0.36,0.394,0.15,0.003872876693735968,0.0249,phT
70,k-,3.68,0.0371,0.38,0.381,0.25,0.007068782461675145,0.0217,phT
71,k-,3.67,0.0367,0.39,0.376,0.35,0.00997468587832406,0.0206,phT
72,k-,3.66,0.0364,0.39,0.375,0.45,0.012749228279359193,0.0207,phT
