x1,x2,qT,QM,A,dA
0.149660941,0.249660941,0.1,7.5,10.837560847154922,0.115
0.149660941,0.249660941,0.3,7.5,10.0443448904945,0.0861
0.149660941,0.249660941,0.5,7.5,8.79109798186376,0.0616
0.149660941,0.249660941,0.7,7.5,7.510794744492681,0.057
0.149660941,0.249660941,0.9,7.5,6.4667887674656646,0.0422
0.149660941,0.249660941,1.1,7.5,5.653493292310324,0.0447
0.149660941,0.249660941,1.3,7.5,4.904025624810252,0.039
0.149660941,0.249660941,1.5,7.5,4.0739778210002155,0.038
0.149660941,0.249660941,1.7,7.5,3.14876456702729,0.0373
0.149660941,0.249660941,1.9,7.5,2.2255602726348847,0.0307
0.149660941,0.249660941,2.1,7.5,1.4268323404172365,0.0433
0.174705615,0.274705615,0.1,8.5,3.0748357464177434,0.0246
0.174705615,0.274705615,0.3,8.5,2.849784296874214,0.0201
0.174705615,0.274705615,0.5,8.5,2.494212739021604,0.0139
0.174705615,0.274705615,0.7,8.5,2.1309647521319683,0.0136
0.174705615,0.274705615,0.9,8.5,1.8347590889841416,0.00988
0.174705615,0.274705615,1.1,8.5,1.6040106729266717,0.00933
0.174705615,0.274705615,1.3,8.5,1.3913715000247247,0.00895
0.174705615,0.274705615,1.5,8.5,1.1558701086705383,0.00802
0.174705615,0.274705615,1.7,8.5,0.8933683496033891,0.00678
0.174705615,0.274705615,1.9,8.5,0.6314365731013587,0.00703
0.174705615,0.274705615,2.1,8.5,0.4048212643356514,0.00633
0.174705615,0.274705615,2.3,8.5,0.23473960239664055,0.00542
0.174705615,0.274705615,2.5,8.5,0.12308865645874621,0.00515
0.174705615,0.274705615,2.7,8.5,0.05842590339160182,0.00571
0.237880483,0.337880483,0.1,11.0,0.1418358280109244,0.0084
0.237880483,0.337880483,0.3,11.0,0.1314546690406434,0.00554
0.237880483,0.337880483,0.5,11.0,0.11505288680433542,0.00412
0.237880483,0.337880483,0.7,11.0,0.09829700673698004,0.00331
