,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence
0,pi+,3.43,0.037,0.36,0.2237,0.43,0.1568035918595884,0.0068,z
1,pi+,3.37,0.039,0.34,0.2737,0.45,0.2116800574149575,0.008,z
2,pi+,3.33,0.041,0.32,0.3237,0.48,0.28075626718611635,0.0094,z
3,pi+,3.28,0.042,0.3,0.3737,0.49,0.33140345978973523,0.011,z
4,pi+,3.19,0.044,0.28,0.4448,0.52,0.42242078354299506,0.01,z
5,pi+,3.03,0.046,0.25,0.5646,0.54,0.5099539913881374,0.0117,z
6,pi+,2.74,0.046,0.22,0.7164,0.54,0.5108119873913005,0.0171,z
7,pi+,2.4,0.045,0.19,0.8787,0.47,0.38892009779633013,0.0234,z
8,pi+,1.24,0.006469,0.65,0.29,0.53,0.047582778975656013,0.0156,x
9,pi+,1.45,0.01059,0.46,0.33,0.52,0.0849789704464271,0.0101,x
10,pi+,1.67,0.01643,0.34,0.35,0.49,0.12659575201627626,0.0084,x
11,pi+,1.99,0.02556,0.26,0.37,0.46,0.18663582469790024,0.0074,x
12,pi+,2.79,0.03967,0.23,0.39,0.45,0.28750280631466985,0.0083,x
13,pi+,4.54,0.06255,0.24,0.38,0.46,0.4478576185294152,0.0104,x
14,pi+,7.4,0.1005,0.25,0.37,0.46,0.6774017074280105,0.0137,x
15,pi+,11.8,0.1609,0.24,0.37,0.47,1.0418223602846306,0.0203,x
16,pi+,23.8,0.2781,0.28,0.36,0.51,1.7013521214753888,0.0343,x
17,pi+,3.18,0.043,0.29,0.35,0.1547,0.08539329667645952,0.0104,phT
18,pi+,3.14,0.042,0.29,0.35,0.2519,0.14038880804089743,0.0087,phT
19,pi+,3.14,0.041,0.3,0.35,0.3496,0.1997037481450315,0.0084,phT
20,pi+,3.23,0.041,0.31,0.35,0.4482,0.27291383516882706,0.0089,phT
21,pi+,3.29,0.041,0.32,0.36,0.5475,0.3696533899004621,0.0102,phT
22,pi+,3.36,0.04,0.33,0.37,0.6681,0.509379062188237,0.0102,phT
23,pi+,3.46,0.04,0.34,0.39,0.817,0.7881406027591898,0.0138,phT
24,pi+,3.61,0.039,0.36,0.41,1.042,1.4851531012048313,0.0151,phT
25,pi+,4.08,0.038,0.43,0.43,1.549,7.4024167347808065,0.0327,phT
26,pi-,3.31,0.036,0.37,0.2236,0.44,0.15689392880655853,0.0071,z
27,pi-,3.25,0.038,0.35,0.2736,0.46,0.21222933057528298,0.0084,z
28,pi-,3.19,0.039,0.33,0.3236,0.48,0.2675473464380427,0.01,z
29,pi-,3.13,0.04,0.31,0.3736,0.5,0.32539311059066434,0.0118,z
30,pi-,3.02,0.041,0.28,0.4446,0.52,0.3947584375633381,0.0109,z
31,pi-,2.81,0.042,0.25,0.5643,0.54,0.46751502021038044,0.013,z
32,pi-,2.51,0.042,0.22,0.7171,0.52,0.4429692647310249,0.019,z
33,pi-,2.21,0.041,0.19,0.8794,0.43,0.31721401416801137,0.0247,z
34,pi-,1.24,0.006453,0.65,0.29,0.54,0.04871899923225097,0.0159,x
35,pi-,1.46,0.01057,0.47,0.32,0.52,0.08256676601650116,0.0104,x
36,pi-,1.68,0.01641,0.35,0.35,0.49,0.12644421992463123,0.0088,x
37,pi-,2.02,0.02552,0.27,0.37,0.46,0.1863513991200806,0.0079,x
38,pi-,2.82,0.03964,0.24,0.38,0.45,0.28222883680582755,0.0089,x
39,pi-,4.59,0.06247,0.25,0.38,0.45,0.43420053739568876,0.0113,x
40,pi-,7.42,0.1004,0.25,0.36,0.46,0.6631996527124622,0.0153,x
41,pi-,11.9,0.1607,0.25,0.36,0.47,1.019715309452161,0.0232,x
42,pi-,23.9,0.2781,0.28,0.35,0.51,1.663722955199779,0.0411,x
43,pi-,3.05,0.041,0.29,0.35,0.1545,0.08148210015451848,0.0112,phT
44,pi-,3.0,0.04,0.3,0.35,0.252,0.1340414304591561,0.0092,phT
45,pi-,3.01,0.039,0.31,0.35,0.3497,0.19042353124982705,0.0089,phT
46,pi-,3.08,0.039,0.32,0.35,0.4483,0.2602193472728544,0.0095,phT
47,pi-,3.15,0.038,0.33,0.35,0.5475,0.33586097979066293,0.0109,phT
48,pi-,3.23,0.038,0.34,0.36,0.668,0.47339033376744116,0.0109,phT
49,pi-,3.29,0.037,0.35,0.38,0.8168,0.7138990789019455,0.0149,phT
50,pi-,3.42,0.036,0.38,0.4,1.042,1.3419033610987476,0.0159,phT
51,pi-,3.83,0.035,0.43,0.42,1.554,6.746303306076406,0.0349,phT
52,k-,3.65,0.51,0.026,0.2248,0.51,1.3617024954367727,0.023,z
53,k-,3.51,0.46,0.028,0.2743,0.53,1.742147922540552,0.0242,z
54,k-,3.49,0.43,0.03,0.3242,0.54,2.0659063333777556,0.0256,z
55,k-,3.35,0.4,0.032,0.3742,0.56,2.4069540670863243,0.0297,z
56,k-,3.13,0.35,0.034,0.4454,0.56,2.5616888667705404,0.0251,z
57,k-,2.85,0.29,0.037,0.5641,0.57,2.6043846049502393,0.0291,z
58,k-,2.68,0.25,0.04,0.7111,0.6,2.5723409370384123,0.0487,z
59,k-,2.45,0.23,0.039,0.8679,0.55,1.998489124017315,0.0868,z
60,k-,1.25,0.006431,0.66,0.3,0.57,0.0542085627892464,0.0319,x
61,k-,1.51,0.01051,0.48,0.34,0.56,0.09642223267489533,0.0226,x
62,k-,1.87,0.01621,0.39,0.37,0.54,0.15006839037606692,0.0222,x
63,k-,2.53,0.0252,0.34,0.41,0.54,0.248729828183966,0.0231,x
64,k-,3.87,0.03966,0.33,0.42,0.53,0.38068830069189,0.0282,x
65,k-,6.13,0.06254,0.33,0.41,0.53,0.5771210683097687,0.0357,x
66,k-,9.68,0.09993,0.32,0.41,0.53,0.8853774975036072,0.0464,x
67,k-,15.8,0.1599,0.33,0.4,0.54,1.3379049989570475,0.0719,x
68,k-,31.4,0.2852,0.36,0.37,0.54,1.9183942797083573,0.1281,x
69,k-,3.27,0.032,0.39,0.38,0.154,0.06742994625707983,0.0331,phT
70,k-,3.27,0.032,0.4,0.37,0.2516,0.11203764855248825,0.0276,phT
71,k-,3.29,0.031,0.4,0.37,0.3501,0.15892931645235472,0.0272,phT
72,k-,3.34,0.032,0.4,0.37,0.4491,0.22473036673205463,0.0275,phT
73,k-,3.35,0.032,0.4,0.38,0.5485,0.30451864289970704,0.0294,phT
74,k-,3.3,0.031,0.41,0.38,0.6699,0.4093896669728083,0.0269,phT
75,k-,3.3,0.031,0.41,0.39,0.8183,0.6186582803660765,0.0333,phT
76,k-,3.34,0.03,0.42,0.4,1.052,1.1571467001348115,0.0322,phT
77,k-,3.5,0.028,0.47,0.41,1.57,5.54806268068784,0.0577,phT
78,k+,3.97,0.028,0.5,0.2249,0.52,0.15207121331970896,0.0203,z
79,k+,4.0,0.032,0.46,0.2747,0.52,0.2120050581279039,0.021,z
80,k+,3.92,0.035,0.42,0.3245,0.54,0.2849182821791186,0.022,z
81,k+,3.87,0.038,0.38,0.3742,0.55,0.3566955658229443,0.0241,z
82,k+,3.74,0.042,0.33,0.4463,0.56,0.45356658714766646,0.0196,z
83,k+,3.44,0.046,0.27,0.5659,0.58,0.5712054815147363,0.0216,z
84,k+,3.25,0.051,0.23,0.7142,0.62,0.69976359825654,0.032,z
85,k+,2.93,0.052,0.2,0.8732,0.61,0.6468456126602703,0.05,z
86,k+,1.24,0.006452,0.65,0.3,0.57,0.05438442773275023,0.03,x
87,k+,1.49,0.01054,0.48,0.35,0.56,0.09911179701705478,0.0199,x
88,k+,1.82,0.01628,0.38,0.39,0.56,0.16565095168344218,0.0184,x
89,k+,2.39,0.02533,0.32,0.44,0.55,0.26843869593161507,0.0186,x
90,k+,3.61,0.0398,0.3,0.46,0.54,0.413569662199504,0.0221,x
91,k+,5.74,0.06279,0.3,0.45,0.54,0.6296705782252381,0.0258,x
92,k+,9.1,0.1008,0.3,0.45,0.53,0.9425635197161881,0.0325,x
93,k+,14.5,0.1608,0.3,0.45,0.54,1.4439013543644228,0.0465,x
94,k+,28.7,0.2847,0.33,0.44,0.56,2.2775059180384374,0.0762,x
95,k+,3.75,0.039,0.38,0.39,0.1543,0.08303404731890104,0.0266,phT
96,k+,3.75,0.039,0.38,0.39,0.2519,0.14030784047086592,0.0226,phT
97,k+,3.77,0.039,0.37,0.39,0.3503,0.20542790310532913,0.0215,phT
98,k+,3.77,0.039,0.37,0.4,0.4491,0.2868199530433548,0.0221,phT
99,k+,3.76,0.039,0.37,0.41,0.5486,0.38876042551175133,0.0236,phT
100,k+,3.68,0.038,0.37,0.42,0.6703,0.537673059393749,0.0218,phT
101,k+,3.71,0.038,0.37,0.43,0.8192,0.8161466593583167,0.0273,phT
102,k+,3.75,0.037,0.39,0.44,1.051,1.54104357480598,0.0266,phT
103,k+,4.12,0.036,0.44,0.44,1.57,7.7738295276096485,0.0504,phT
