,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence
0,pi+,3.43,0.037,0.36,0.2237,0.43,0.00599671219297403,0.0068,z
1,pi+,3.37,0.039,0.34,0.2737,0.45,0.008460289114758138,0.008,z
2,pi+,3.33,0.041,0.32,0.3237,0.48,0.011702257781675284,0.0094,z
3,pi+,3.28,0.042,0.3,0.3737,0.49,0.014096134315666154,0.011,z
4,pi+,3.19,0.044,0.28,0.4448,0.52,0.018685865300257228,0.01,z
5,pi+,3.03,0.046,0.25,0.5646,0.54,0.023421089692434834,0.0117,z
6,pi+,2.74,0.046,0.22,0.7164,0.54,0.0234604956029389,0.0171,z
7,pi+,2.4,0.045,0.19,0.8787,0.47,0.017533474530779528,0.0234,z
8,pi+,1.24,0.006469,0.65,0.29,0.53,0.00043776190402101955,0.0156,x
9,pi+,1.45,0.01059,0.46,0.33,0.52,0.0011642910125532196,0.0101,x
10,pi+,1.67,0.01643,0.34,0.35,0.49,0.002478591557769914,0.0084,x
11,pi+,1.99,0.02556,0.26,0.37,0.46,0.005250094665116011,0.0074,x
12,pi+,2.79,0.03967,0.23,0.39,0.45,0.0116560974534365,0.0083,x
13,pi+,4.54,0.06255,0.24,0.38,0.46,0.026743109492273952,0.0104,x
14,pi+,7.4,0.1005,0.25,0.37,0.46,0.061477871041121825,0.0137,x
15,pi+,11.8,0.1609,0.24,0.37,0.47,0.14718253105370258,0.0203,x
16,pi+,23.8,0.2781,0.28,0.36,0.51,0.42957856296396,0.0343,x
17,pi+,3.18,0.043,0.29,0.35,0.1547,0.003704870193014563,0.0104,phT
18,pi+,3.14,0.042,0.29,0.35,0.2519,0.005971390569719267,0.0087,phT
19,pi+,3.14,0.041,0.3,0.35,0.3496,0.008323891623800166,0.0084,phT
20,pi+,3.23,0.041,0.31,0.35,0.4482,0.011375375813833953,0.0089,phT
21,pi+,3.29,0.041,0.32,0.36,0.5475,0.01540759642461596,0.0102,phT
22,pi+,3.36,0.04,0.33,0.37,0.6681,0.020795635838496435,0.0102,phT
23,pi+,3.46,0.04,0.34,0.39,0.817,0.03217620467968203,0.0138,phT
24,pi+,3.61,0.039,0.36,0.41,1.042,0.05935762097438226,0.0151,phT
25,pi+,4.08,0.038,0.43,0.43,1.549,0.2894842115822187,0.0327,phT
26,pi-,3.31,0.036,0.37,0.2236,0.44,0.005864294192501602,0.0071,z
27,pi-,3.25,0.038,0.35,0.2736,0.46,0.00829959223283679,0.0084,z
28,pi-,3.19,0.039,0.33,0.3236,0.48,0.010693156126252323,0.01,z
29,pi-,3.13,0.04,0.31,0.3736,0.5,0.01328432425771449,0.0118,z
30,pi-,3.02,0.041,0.28,0.4446,0.52,0.016454004906665858,0.0109,z
31,pi-,2.81,0.042,0.25,0.5643,0.54,0.019885593601400964,0.013,z
32,pi-,2.51,0.042,0.22,0.7171,0.52,0.01884154817611777,0.019,z
33,pi-,2.21,0.041,0.19,0.8794,0.43,0.013221860380745335,0.0247,z
34,pi-,1.24,0.006453,0.65,0.29,0.54,0.000447321206595896,0.0159,x
35,pi-,1.46,0.01057,0.47,0.32,0.52,0.001129510405784481,0.0104,x
36,pi-,1.68,0.01641,0.35,0.35,0.49,0.0024731658406001943,0.0088,x
37,pi-,2.02,0.02552,0.27,0.37,0.46,0.005235325669684712,0.0079,x
38,pi-,2.82,0.03964,0.24,0.38,0.45,0.011435014910232194,0.0089,x
39,pi-,4.59,0.06247,0.25,0.38,0.45,0.025898966805303816,0.0113,x
40,pi-,7.42,0.1004,0.25,0.36,0.46,0.060134690275571834,0.0153,x
41,pi-,11.9,0.1607,0.25,0.36,0.47,0.14388352584351527,0.0232,x
42,pi-,23.9,0.2781,0.28,0.35,0.51,0.42007748263486827,0.0411,x
43,pi-,3.05,0.041,0.29,0.35,0.1545,0.003396271613656827,0.0112,phT
44,pi-,3.0,0.04,0.3,0.35,0.252,0.005472303402352383,0.0092,phT
45,pi-,3.01,0.039,0.31,0.35,0.3497,0.007610722277293187,0.0089,phT
46,pi-,3.08,0.039,0.32,0.35,0.4483,0.01040027548209856,0.0095,phT
47,pi-,3.15,0.038,0.33,0.35,0.5475,0.013134420071097296,0.0109,phT
48,pi-,3.23,0.038,0.34,0.36,0.668,0.0185127415074354,0.0109,phT
49,pi-,3.29,0.037,0.35,0.38,0.8168,0.027301972233121672,0.0149,phT
50,pi-,3.42,0.036,0.38,0.4,1.042,0.050156919055116496,0.0159,phT
51,pi-,3.83,0.035,0.43,0.42,1.554,0.24629757904377592,0.0349,phT
52,k-,3.65,0.51,0.026,0.2248,0.51,0.8070359678599722,0.023,z
53,k-,3.51,0.46,0.028,0.2743,0.53,0.8668780639465915,0.0242,z
54,k-,3.49,0.43,0.03,0.3242,0.54,0.9252201257666731,0.0256,z
55,k-,3.35,0.4,0.032,0.3742,0.56,0.9689757319492975,0.0297,z
56,k-,3.13,0.35,0.034,0.4454,0.56,0.8589223823514067,0.0251,z
57,k-,2.85,0.29,0.037,0.5641,0.57,0.6908263255952777,0.0291,z
58,k-,2.68,0.25,0.04,0.7111,0.6,0.5751923860088547,0.0487,z
59,k-,2.45,0.23,0.039,0.8679,0.55,0.4077168512594788,0.0868,z
60,k-,1.25,0.006431,0.66,0.3,0.57,0.0004963560984843014,0.0319,x
61,k-,1.51,0.01051,0.48,0.34,0.56,0.0013129836249733237,0.0226,x
62,k-,1.87,0.01621,0.39,0.37,0.54,0.0029060236554939852,0.0222,x
63,k-,2.53,0.0252,0.34,0.41,0.54,0.006915432562190059,0.0231,x
64,k-,3.87,0.03966,0.33,0.42,0.53,0.01543080997804374,0.0282,x
65,k-,6.13,0.06254,0.33,0.41,0.53,0.03445711514336498,0.0357,x
66,k-,9.68,0.09993,0.32,0.41,0.53,0.07993988332980395,0.0464,x
67,k-,15.8,0.1599,0.33,0.4,0.54,0.18785830716710827,0.0719,x
68,k-,31.4,0.2852,0.36,0.37,0.54,0.49891086699939113,0.1281,x
69,k-,3.27,0.032,0.39,0.38,0.154,0.0022847148225630417,0.0331,phT
70,k-,3.27,0.032,0.4,0.37,0.2516,0.003796148307119591,0.0276,phT
71,k-,3.29,0.031,0.4,0.37,0.3501,0.005244771535818468,0.0272,phT
72,k-,3.34,0.032,0.4,0.37,0.4491,0.00761449220195462,0.0275,phT
73,k-,3.35,0.032,0.4,0.38,0.5485,0.010317941742489425,0.0294,phT
74,k-,3.3,0.031,0.41,0.38,0.6699,0.013510127145364531,0.0269,phT
75,k-,3.3,0.031,0.41,0.39,0.8183,0.020416128450631902,0.0333,phT
76,k-,3.34,0.03,0.42,0.4,1.052,0.037161485817963184,0.0322,phT
