,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence
0,pi+,1.24,0.0065,0.65,0.285,0.54,0.00017065818427499738,0.0117,x
1,pi+,1.47,0.0106,0.47,0.321,0.52,0.0004807776298672054,0.0074,x
2,pi+,1.72,0.0164,0.36,0.347,0.51,0.001195967765704597,0.0061,x
3,pi+,2.05,0.0257,0.27,0.363,0.49,0.002874937587566806,0.0053,x
4,pi+,2.71,0.0399,0.23,0.37,0.48,0.0068253627884699,0.0055,x
5,pi+,4.22,0.0628,0.23,0.367,0.48,0.016786152636482643,0.0063,x
6,pi+,6.68,0.1009,0.22,0.365,0.48,0.043066178226873385,0.0075,x
7,pi+,10.54,0.1621,0.22,0.362,0.48,0.11007346791482686,0.0096,x
8,pi+,21.02,0.2881,0.24,0.361,0.52,0.3854124892405003,0.0126,x
9,pi+,3.75,0.0467,0.33,0.223,0.45,0.005449876484953647,0.0044,z
10,pi+,3.75,0.0483,0.32,0.274,0.47,0.007520331543966309,0.0053,z
11,pi+,3.72,0.0498,0.31,0.324,0.5,0.010108110400302989,0.0063,z
12,pi+,3.68,0.0511,0.29,0.374,0.52,0.012638440938439592,0.0074,z
13,pi+,3.58,0.0527,0.27,0.445,0.54,0.015930826071907513,0.0067,z
14,pi+,3.4,0.0545,0.24,0.565,0.57,0.020266161850657036,0.0077,z
15,pi+,3.1,0.0548,0.21,0.716,0.56,0.019914949447849432,0.0113,z
16,pi+,2.71,0.0527,0.19,0.878,0.47,0.013559420238655483,0.0152,z
17,pi+,3.57,0.052,0.28,0.346,0.15,0.002908406405877795,0.0072,phT
18,pi+,3.52,0.051,0.28,0.344,0.25,0.004796038445250262,0.006,phT
19,pi+,3.48,0.0497,0.29,0.344,0.35,0.006691172176571016,0.0056,phT
20,pi+,3.55,0.0495,0.3,0.344,0.45,0.009099160974362745,0.0059,phT
21,pi+,3.62,0.0493,0.3,0.35,0.55,0.012127234555430593,0.0066,phT
22,pi+,3.71,0.0489,0.31,0.363,0.67,0.016913980848769994,0.0066,phT
23,pi+,3.84,0.0487,0.32,0.382,0.82,0.025975274431527993,0.0087,phT
24,pi+,4.06,0.0486,0.34,0.404,1.04,0.04948588131791836,0.0091,phT
25,pi+,4.77,0.0492,0.39,0.415,1.56,0.26180764176594995,0.0186,phT
26,pi-,1.24,0.0064,0.65,0.285,0.54,0.0001654483883002294,0.0115,x
27,pi-,1.48,0.0106,0.48,0.32,0.52,0.0004794511098512641,0.0075,x
28,pi-,1.73,0.0164,0.36,0.344,0.5,0.0011548268402686414,0.0063,x
29,pi-,2.05,0.0257,0.27,0.358,0.49,0.002844465707519341,0.0054,x
30,pi-,2.72,0.0398,0.23,0.365,0.48,0.0067227634497920696,0.0057,x
31,pi-,4.22,0.0627,0.23,0.359,0.48,0.01645617776051368,0.0068,x
32,pi-,6.66,0.1007,0.22,0.353,0.48,0.04181057388262985,0.0083,x
33,pi-,10.54,0.1619,0.22,0.349,0.48,0.10673226866201266,0.0109,x
34,pi-,20.85,0.2873,0.24,0.345,0.51,0.3594646917572918,0.0147,x
35,pi-,3.61,0.0447,0.34,0.223,0.45,0.004993596581137251,0.0045,z
36,pi-,3.58,0.0458,0.33,0.273,0.48,0.006925286924403772,0.0054,z
37,pi-,3.52,0.0468,0.31,0.323,0.5,0.008904506859925236,0.0065,z
38,pi-,3.45,0.0475,0.3,0.373,0.52,0.010900577869838965,0.0078,z
39,pi-,3.34,0.0488,0.27,0.444,0.54,0.013646175724604857,0.0071,z
40,pi-,3.11,0.0499,0.24,0.564,0.55,0.016054822176700713,0.0086,z
