,hadron,Q2,x,y,z,phT,Asym,dAsym,1D_dependence
0,pi+,1.122807018,0.00279,0.677647059,0.343478261,0.446575342,0.6411792549102984,0.019565,x
1,pi+,1.473684211,0.01706,0.503529412,0.360869565,0.397260274,1.0958986713857115,0.01304,x
2,pi+,2.526315789,0.11312,0.470588235,0.365217391,0.37260274,0.7195318515299116,0.01304,x
3,pi+,4.596491228,0.88395,0.456470588,0.356521739,0.356164384,-0.042152389849451244,0.021425,x
4,pi+,2.0,0.104255319,0.38169,0.369565217,0.356164384,0.7660194993705374,0.016875,y
5,pi+,2.315789474,0.085106383,0.49384,0.365217391,0.397260274,0.6793872120518898,0.01219,y
6,pi+,2.526315789,0.074468085,0.61544,0.356521739,0.421917808,0.59215607780211,0.01219,y
7,pi+,2.666666667,0.065957447,0.76339,0.339130435,0.446575342,0.48650338713460983,0.0178125,y
8,pi+,2.310344828,0.089361702,0.128571429,0.2675,0.339726027,0.8145762276749096,0.013045,z
9,pi+,2.344827586,0.091489362,0.126190476,0.345,0.389041096,0.8160004735360037,0.012115,z
10,pi+,2.275862069,0.091489362,0.123809524,0.4475,0.438356164,0.8589896182040743,0.012115,z
11,pi+,2.206896552,0.089361702,0.122619048,0.5475,0.463013699,0.8652815807812047,0.01118,z
12,pi+,2.206896552,0.091489362,0.119047619,0.6675,0.512328767,0.8686263679688832,0.01118,z
13,pi+,2.310344828,0.095744681,0.117857143,0.317391304,0.13858,0.3267682325258227,0.016875,phT
14,pi+,2.310344828,0.093617021,0.122619048,0.334782609,0.27559,0.6283410786490702,0.01125,phT
15,pi+,2.310344828,0.091489362,0.125,0.360869565,0.41732,0.8661999524456357,0.01313,phT
16,pi+,2.275862069,0.085106383,0.132142857,0.395652174,0.57795,1.0567499166521843,0.013125,phT
17,pi+,2.172413793,0.074468085,0.142857143,0.452173913,0.79527,1.12628201969164,0.015,phT
18,pi-,1.122807018,0.024697829,0.67764706,0.343478261,0.446575342,0.8122493615906125,0.024528302,x
19,pi-,1.473684211,0.070282045,0.50352941,0.360869565,0.397260274,0.8086893448291363,0.017924528,x
20,pi-,2.526315789,0.220434628,0.47058824,0.365217391,0.37260274,0.6410157721987442,0.01509434,x
21,pi-,4.596491228,0.725838772,0.45647059,0.356521739,0.356164384,-0.061133216406525734,0.050943396,x
22,pi-,2.0,0.104255319,0.372972973,0.369565217,0.356164384,0.7985034345211433,0.018867925,y
23,pi-,2.315789474,0.085106383,0.521621622,0.365217391,0.397260274,0.6540877194299246,0.01509434,y
24,pi-,2.526315789,0.074468085,0.648648649,0.356521739,0.421917808,0.5567219737706386,0.011320755,y
25,pi-,2.666666667,0.065957447,0.772972973,0.339130435,0.446575342,0.45438843609978274,0.022641509,y
26,pi-,2.310344828,0.089361702,0.128571429,0.265,0.339726027,0.6774827535958089,0.014150943,z
27,pi-,2.344827586,0.091489362,0.126190476,0.345,0.389041096,0.7772933955770047,0.01509434,z
28,pi-,2.275862069,0.091489362,0.123809524,0.445,0.438356164,0.919790046550353,0.013207547,z
29,pi-,2.206896552,0.089361702,0.122619048,0.5475,0.463013699,0.9701780341717026,0.01509434,z
30,pi-,2.206896552,0.091489362,0.119047619,0.6675,0.512328767,1.2409782012436823,0.014150943,z
31,pi-,2.310344828,0.09574468,0.117857143,0.317391304,0.133858268,0.28867936654614607,0.021698113,phT
32,pi-,2.310344828,0.09361702,0.122619048,0.334782609,0.275590551,0.5903083946165533,0.014150943,phT
33,pi-,2.310344828,0.09148936,0.125,0.360869565,0.417322835,0.8552317850820543,0.020754717,phT
34,pi-,2.275862069,0.08510638,0.132142857,0.395652174,0.577952756,1.0790012685189623,0.023584906,phT
35,pi-,2.172413793,0.07446809,0.142857143,0.452173913,0.8,1.2293471665967772,0.032075472,phT
36,k+,1.379310345,0.018061622,0.461176471,0.404255319,0.41369863,0.5460554682712433,0.019354839,x
37,k+,2.379310345,0.120526094,0.432941176,0.408510638,0.397260274,0.6436700811420655,0.014516129,x
38,k+,4.413793103,0.91087642,0.437647059,0.408510638,0.347945205,0.015979697899926724,0.019354839,x
39,k+,1.862068966,0.095744681,0.371621622,0.417021277,0.389041096,0.723997963073934,0.020967742,y
40,k+,2.482758621,0.091489362,0.517567568,0.408510638,0.405479452,0.6164228148747749,0.017741935,y
41,k+,2.862068966,0.082978723,0.647297297,0.370212766,0.421917808,0.5095129536910095,0.043548387,y
42,k+,2.206896552,0.091489362,0.456470588,0.348091603,0.380821918,0.6234668045832276,0.014516129,z
43,k+,2.172413793,0.095744681,0.437647059,0.447328244,0.41369863,0.6825405774748491,0.020967742,z
44,k+,2.034482759,0.093617021,0.414117647,0.548091603,0.421917808,0.7558566777557206,0.022580645,z
45,k+,2.310344828,0.10212766,0.432941176,0.395744681,0.275294118,0.49765173414895136,0.017741935,phT
46,k+,2.206896552,0.093617021,0.442352941,0.408510638,0.421176471,0.683667202627101,0.016129032,phT
