,hadron,Q2,x,y,z,phT,Asym,dAsym,1D_dependence
0,pi+,1.122807018,0.00279,0.677647059,0.343478261,0.446575342,0.6724932039882302,0.019565,x
1,pi+,1.473684211,0.01706,0.503529412,0.360869565,0.397260274,1.10131422242418,0.01304,x
2,pi+,2.526315789,0.11312,0.470588235,0.365217391,0.37260274,0.698698435197631,0.01304,x
3,pi+,4.596491228,0.88395,0.456470588,0.356521739,0.356164384,-0.029436390778322375,0.021425,x
4,pi+,2.0,0.104255319,0.38169,0.369565217,0.356164384,0.780743589335603,0.016875,y
5,pi+,2.315789474,0.085106383,0.49384,0.365217391,0.397260274,0.7132738936680064,0.01219,y
6,pi+,2.526315789,0.074468085,0.61544,0.356521739,0.421917808,0.6268871483515932,0.01219,y
7,pi+,2.666666667,0.065957447,0.76339,0.339130435,0.446575342,0.45311114608034136,0.0178125,y
8,pi+,2.310344828,0.089361702,0.128571429,0.2675,0.339726027,0.8447148678089459,0.013045,z
9,pi+,2.344827586,0.091489362,0.126190476,0.345,0.389041096,0.847669375706888,0.012115,z
10,pi+,2.275862069,0.091489362,0.123809524,0.4475,0.438356164,0.8570521427746842,0.012115,z
11,pi+,2.206896552,0.089361702,0.122619048,0.5475,0.463013699,0.8678264563601822,0.01118,z
12,pi+,2.206896552,0.091489362,0.119047619,0.6675,0.512328767,0.8503067066927854,0.01118,z
13,pi+,2.310344828,0.095744681,0.117857143,0.317391304,0.13858,0.34617309930471685,0.016875,phT
14,pi+,2.310344828,0.093617021,0.122619048,0.334782609,0.27559,0.6389781921879524,0.01125,phT
15,pi+,2.310344828,0.091489362,0.125,0.360869565,0.41732,0.8640091954615844,0.01313,phT
16,pi+,2.275862069,0.085106383,0.132142857,0.395652174,0.57795,1.0405842652765365,0.013125,phT
17,pi+,2.172413793,0.074468085,0.142857143,0.452173913,0.79527,1.1449042047548128,0.015,phT
18,pi-,1.122807018,0.024697829,0.67764706,0.343478261,0.446575342,0.8354493898250078,0.024528302,x
19,pi-,1.473684211,0.070282045,0.50352941,0.360869565,0.397260274,0.8164968939428444,0.017924528,x
20,pi-,2.526315789,0.220434628,0.47058824,0.365217391,0.37260274,0.6237258331823634,0.01509434,x
21,pi-,4.596491228,0.725838772,0.45647059,0.356521739,0.356164384,0.027560251151970604,0.050943396,x
22,pi-,2.0,0.104255319,0.372972973,0.369565217,0.356164384,0.7583505098023994,0.018867925,y
23,pi-,2.315789474,0.085106383,0.521621622,0.365217391,0.397260274,0.6399030803388953,0.01509434,y
24,pi-,2.526315789,0.074468085,0.648648649,0.356521739,0.421917808,0.5512013276509493,0.011320755,y
25,pi-,2.666666667,0.065957447,0.772972973,0.339130435,0.446575342,0.4443265816421414,0.022641509,y
26,pi-,2.310344828,0.089361702,0.128571429,0.265,0.339726027,0.6793779169078661,0.014150943,z
27,pi-,2.344827586,0.091489362,0.126190476,0.345,0.389041096,0.8086289597300262,0.01509434,z
28,pi-,2.275862069,0.091489362,0.123809524,0.445,0.438356164,0.8979357450421591,0.013207547,z
29,pi-,2.206896552,0.089361702,0.122619048,0.5475,0.463013699,0.9584552703729063,0.01509434,z
30,pi-,2.206896552,0.091489362,0.119047619,0.6675,0.512328767,1.2777118740058349,0.014150943,z
31,pi-,2.310344828,0.09574468,0.117857143,0.317391304,0.133858268,0.30744965967155446,0.021698113,phT
32,pi-,2.310344828,0.09361702,0.122619048,0.334782609,0.275590551,0.5773435863889146,0.014150943,phT
33,pi-,2.310344828,0.09148936,0.125,0.360869565,0.417322835,0.8500029270137608,0.020754717,phT
34,pi-,2.275862069,0.08510638,0.132142857,0.395652174,0.577952756,1.0731359078992377,0.023584906,phT
35,pi-,2.172413793,0.07446809,0.142857143,0.452173913,0.8,1.2484430849793329,0.032075472,phT
36,k+,1.379310345,0.018061622,0.461176471,0.404255319,0.41369863,0.5516518334186817,0.019354839,x
37,k+,2.379310345,0.120526094,0.432941176,0.408510638,0.397260274,0.672993060493344,0.014516129,x
38,k+,4.413793103,0.91087642,0.437647059,0.408510638,0.347945205,0.00646754507146486,0.019354839,x
39,k+,1.862068966,0.095744681,0.371621622,0.417021277,0.389041096,0.7242533452003044,0.020967742,y
40,k+,2.482758621,0.091489362,0.517567568,0.408510638,0.405479452,0.5852308046007123,0.017741935,y
41,k+,2.862068966,0.082978723,0.647297297,0.370212766,0.421917808,0.44512653585426726,0.043548387,y
42,k+,2.206896552,0.091489362,0.456470588,0.348091603,0.380821918,0.6197846848031121,0.014516129,z
43,k+,2.172413793,0.095744681,0.437647059,0.447328244,0.41369863,0.6758220545750896,0.020967742,z
44,k+,2.034482759,0.093617021,0.414117647,0.548091603,0.421917808,0.7144063214823193,0.022580645,z
45,k+,2.310344828,0.10212766,0.432941176,0.395744681,0.275294118,0.4964057081854395,0.017741935,phT
46,k+,2.206896552,0.093617021,0.442352941,0.408510638,0.421176471,0.7279815199465389,0.016129032,phT
47,k+,2.0,0.080851064,0.461176471,0.421276596,0.585882353,0.8856931013039403,0.020967742,phT
48,k-,1.379310345,0.01750827,0.461176471,0.404255319,0.41369863,0.41556432685687517,0.025806452,x
49,k-,2.379310345,0.116833549,0.432941176,0.408510638,0.397260274,0.6061866044189635,0.022580645,x
50,k-,4.413793103,0.882969996,0.437647059,0.408510638,0.347945205,0.16253587051967325,0.069354839,x
51,k-,1.862068966,0.095744681,0.375757576,0.417021277,0.389041096,0.7531483050224254,0.037096774,y
52,k-,2.482758621,0.091489362,0.517171717,0.408510638,0.405479452,0.5577531854856718,0.029032258,y
53,k-,2.862068966,0.082978723,0.646464646,0.370212766,0.421917808,0.4722733152368612,0.043548387,y
54,k-,2.206896552,0.091489362,0.45647059,0.346564885,0.380821918,0.5898594279159933,0.027419355,z
55,k-,2.172413793,0.095744681,0.43764706,0.445801527,0.41369863,0.6656700603415711,0.027419355,z
56,k-,2.034482759,0.093617021,0.41411765,0.546564885,0.421917808,0.731781403422294,0.04516129,z
57,k-,2.310344828,0.10212766,0.432941176,0.395744681,0.277647059,0.4985417713086147,0.024193548,phT
58,k-,2.206896552,0.093617021,0.442352941,0.408510638,0.421176471,0.6756173785640175,0.030645161,phT
59,k-,2.0,0.080851064,0.461176471,0.421276596,0.588235294,0.851639889222197,0.040322581,phT
