,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence
0,pi+,1.29,0.036,0.702,0.336,0.486,0.013188328696481424,0.00875557,x
1,pi+,1.64,0.056,0.567,0.356,0.408,0.023210781005314103,0.007397973,x
2,pi+,1.98,0.074,0.516,0.366,0.375,0.034241858971299256,0.008782369,x
3,pi+,2.34,0.093,0.489,0.374,0.358,0.048487358674896425,0.007749194,x
4,pi+,2.34,0.093,0.489,0.374,0.358,0.048487358674896425,0.007749194,x
5,pi+,2.87,0.118,0.469,0.379,0.348,0.07093019809713742,0.007595393,x
6,pi+,3.69,0.157,0.456,0.379,0.342,0.11288022404167818,0.007640026,x
7,pi+,5.71,0.254,0.437,0.375,0.343,0.2543208401494337,0.009352005,x
8,pi+,2.44,0.087,0.594,0.229,0.344,0.02667092171425673,0.005491812,z
9,pi+,2.46,0.094,0.556,0.289,0.371,0.04152844947344329,0.006020797,z
10,pi+,2.45,0.098,0.533,0.349,0.394,0.056703752252949574,0.007340981,z
11,pi+,2.45,0.1,0.52,0.413,0.418,0.0720773261640068,0.00813941,z
12,pi+,2.44,0.101,0.508,0.483,0.441,0.08666938512418738,0.011552056,z
13,pi+,2.44,0.101,0.508,0.483,0.441,0.08666938512418738,0.011552056,z
14,pi+,2.43,0.102,0.499,0.558,0.46,0.09922497542276615,0.012384668,z
15,pi+,2.41,0.104,0.481,0.647,0.466,0.10743352294820019,0.015425304,z
16,pi+,2.41,0.107,0.457,0.729,0.453,0.10819291202540737,0.021260292,z
17,pi+,2.35,0.108,0.434,0.798,0.433,0.10196994517417697,0.023052115,z
18,pi+,2.31,0.116,0.394,0.916,0.376,0.09266638830856987,0.021890866,z
19,pi+,2.56,0.11,0.46,0.341,0.11,0.016596371891793783,0.006911584,phT
20,pi+,2.56,0.108,0.489,0.35,0.211,0.032406931058334414,0.00741485,phT
21,pi+,2.52,0.103,0.514,0.354,0.28,0.04129193923379766,0.008372574,phT
22,pi+,2.46,0.097,0.54,0.355,0.345,0.04781853201316677,0.009291394,phT
23,pi+,2.46,0.097,0.54,0.355,0.345,0.04781853201316677,0.009291394,phT
24,pi+,2.39,0.09,0.57,0.356,0.446,0.05878512865239288,0.009700515,phT
25,pi+,2.34,0.084,0.601,0.373,0.594,0.08396732622434504,0.012816006,phT
26,pi+,2.3,0.076,0.642,0.429,0.849,0.1662888084560265,0.010870603,phT
