,Unnamed: 0,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence,Siv_Rep_err,Siv_Rep
0,0,pi+,1.29,0.036,0.702,0.336,0.486,0.0047629631197702,0.00875557,x,0.00023814815598851002,0.0049262386873389465
1,1,pi+,1.64,0.056,0.567,0.356,0.408,0.0060249722504854,0.007397973,x,0.00030124861252427,0.005698304560510823
2,2,pi+,1.98,0.074,0.516,0.366,0.375,0.0071672002085973,0.008782369,x,0.00035836001042986504,0.007011338726310322
3,3,pi+,2.34,0.093,0.489,0.374,0.358,0.0084594756810603,0.007749194,x,0.000422973784053015,0.008349386378554239
4,4,pi+,2.34,0.093,0.489,0.374,0.358,0.0084594756810603,0.007749194,x,0.000422973784053015,0.008298594114843162
5,5,pi+,2.87,0.118,0.469,0.379,0.348,0.0101750590215369,0.007595393,x,0.000508752951076845,0.010199692183870034
6,6,pi+,3.69,0.157,0.456,0.379,0.342,0.0126713402263849,0.007640026,x,0.000633567011319245,0.013227916387098415
7,7,pi+,5.71,0.254,0.437,0.375,0.343,0.018077431426023,0.009352005,x,0.00090387157130115,0.017802875377411747
8,8,pi+,2.44,0.087,0.594,0.229,0.344,0.0050624407100682,0.005491812,z,0.00025312203550341,0.005280938618062115
9,9,pi+,2.46,0.094,0.556,0.289,0.371,0.0073027860338139,0.006020797,z,0.000365139301690695,0.007840950581072665
10,10,pi+,2.45,0.098,0.533,0.349,0.394,0.0094990046476328,0.007340981,z,0.00047495023238164,0.010267076000832214
11,11,pi+,2.45,0.1,0.52,0.413,0.418,0.0116943241219932,0.00813941,z,0.00058471620609966,0.01070531661638481
12,12,pi+,2.44,0.101,0.508,0.483,0.441,0.0137333164317804,0.011552056,z,0.0006866658215890201,0.013007878912185473
13,13,pi+,2.44,0.101,0.508,0.483,0.441,0.0137333164317804,0.011552056,z,0.0006866658215890201,0.01389876312276351
14,14,pi+,2.43,0.102,0.499,0.558,0.46,0.0153807047417226,0.012384668,z,0.0007690352370861301,0.014014704512217195
15,15,pi+,2.41,0.104,0.481,0.647,0.466,0.0162052558659038,0.015425304,z,0.0008102627932951899,0.01580290798152775
16,16,pi+,2.41,0.107,0.457,0.729,0.453,0.0158546401117175,0.021260292,z,0.0007927320055858751,0.01594698586411732
17,17,pi+,2.35,0.108,0.434,0.798,0.433,0.0147938132265895,0.023052115,z,0.000739690661329475,0.013751240895691094
18,18,pi+,2.31,0.116,0.394,0.916,0.376,0.0126634293262063,0.021890866,z,0.0006331714663103151,0.012639069959871449
19,19,pi+,2.56,0.11,0.46,0.341,0.11,0.0025751465381191,0.006911584,phT,0.000128757326905955,0.0026406792628902386
20,20,pi+,2.56,0.108,0.489,0.35,0.211,0.0050781609782882,0.00741485,phT,0.00025390804891441,0.005018540775099862
21,21,pi+,2.52,0.103,0.514,0.354,0.28,0.0066958332341209,0.008372574,phT,0.000334791661706045,0.00588401554521121
22,22,pi+,2.46,0.097,0.54,0.355,0.345,0.0081023797054744,0.009291394,phT,0.00040511898527371997,0.008218947100473587
23,23,pi+,2.46,0.097,0.54,0.355,0.345,0.0081023797054744,0.009291394,phT,0.00040511898527371997,0.008409940877525883
24,24,pi+,2.39,0.09,0.57,0.356,0.446,0.0104793867031446,0.009700515,phT,0.00052396933515723,0.010341435195957406
25,25,pi+,2.34,0.084,0.601,0.373,0.594,0.0154600925564517,0.012816006,phT,0.000773004627822585,0.016200231142236326
26,26,pi+,2.3,0.076,0.642,0.429,0.849,0.0310801694544555,0.010870603,phT,0.001554008472722775,0.030516615608957146
27,27,pi0,1.3,0.036,0.712,0.325,0.492,0.0047099171569083,0.036200829,x,0.000235495857845415,0.004478337313715684
28,28,pi0,1.72,0.056,0.597,0.352,0.406,0.0059374575500126,0.031942761,x,0.00029687287750063,0.006249904815327163
29,29,pi0,2.14,0.074,0.558,0.366,0.374,0.0071436068125257,0.035141144,x,0.000357180340626285,0.007632599330923348
30,30,pi0,2.58,0.093,0.538,0.372,0.353,0.0082861362011529,0.030734996,x,0.000414306810057645,0.008591381524047157
31,31,pi0,2.58,0.093,0.538,0.372,0.353,0.0082861362011529,0.030734996,x,0.000414306810057645,0.008426685703078828
32,32,pi0,3.19,0.118,0.522,0.378,0.338,0.0098078013429785,0.031110288,x,0.000490390067148925,0.009087794279298445
33,33,pi0,4.1,0.156,0.507,0.38,0.323,0.0117974862551068,0.02973096,x,0.0005898743127553401,0.012063467844731321
34,34,pi0,6.14,0.249,0.479,0.386,0.326,0.0171111116968428,0.033160217,x,0.00085555558484214,0.01817877647796687
35,35,pi0,2.45,0.078,0.648,0.229,0.337,0.0044790803847413,0.034340646,z,0.00022395401923706502,0.00476459404538454
36,36,pi0,2.49,0.085,0.609,0.289,0.372,0.0066905671883815,0.031331294,z,0.000334528359419075,0.006175862264409711
37,37,pi0,2.52,0.09,0.581,0.348,0.401,0.0089783960751255,0.030972569,z,0.00044891980375627496,0.009552704076978898
38,38,pi0,2.53,0.095,0.558,0.413,0.427,0.0114896406792308,0.030304125,z,0.00057448203396154,0.01202158524913418
39,39,pi0,2.55,0.099,0.537,0.483,0.45,0.0138699565894016,0.031590505,z,0.00069349782947008,0.013306421664262552
40,40,pi0,2.55,0.099,0.537,0.483,0.45,0.0138699565894016,0.031590505,z,0.00069349782947008,0.014132257408016729
41,41,pi0,2.57,0.102,0.517,0.557,0.469,0.0157977128032304,0.032557641,z,0.0007898856401615201,0.016795174052192868
42,42,pi0,2.59,0.106,0.496,0.645,0.483,0.017327487857824,0.03246244,z,0.0008663743928912,0.017152352567232586
43,43,pi0,2.61,0.112,0.472,0.728,0.494,0.0185905734428404,0.043488504,z,0.00092952867214202,0.017547657510235667
44,44,pi0,2.66,0.116,0.457,0.796,0.488,0.0184727194417691,0.043887698,z,0.000923635972088455,0.017088822698319836
45,45,pi0,2.56,0.121,0.418,0.908,0.478,0.0177886021503858,0.049152213,z,0.0008894301075192901,0.019095753005146574
46,46,pi0,2.82,0.114,0.481,0.338,0.111,0.0026653319224046,0.032318725,phT,0.00013326659612023002,0.0024970750404395953
47,47,pi0,2.69,0.103,0.529,0.34,0.211,0.004773753671276,0.03242607,phT,0.00023868768356379998,0.005199640870161117
48,48,pi0,2.59,0.095,0.563,0.343,0.28,0.0060940511809286,0.03375574,phT,0.00030470255904643004,0.005507962655711691
49,49,pi0,2.49,0.088,0.591,0.347,0.345,0.007302732680401,0.033147096,phT,0.00036513663402005,0.007180951184345803
